vbias,vds,vgs,ids,Rbias,Rfet,Gfet
2.248075855e-05,0.0,0.0,2.317603974226804e-10,97000.0,0.0,inf
8.28104263,1.25,0.0,7.25487137113402e-05,97000.0,17229.802377662425,5.803897096907216e-05
10.15604625,2.5,0.0,7.876849175257731e-05,97000.0,31738.579022851478,3.150739670103093e-05
11.5621665,3.75,0.0,8.041328814432989e-05,97000.0,46634.08357670075,2.1443543505154637e-05
12.89107235,5.0,0.0,8.138175927835052e-05,97000.0,61438.82909803498,1.6276351855670103e-05
12.890993250000001,0.0,-0.007575757575757576,0.00013289683762886598,97000.0,0.0,inf
8.281107655,1.25,-0.007575757575757576,7.218419489690722e-05,97000.0,17316.810165788203,5.774735591752578e-05
10.0781156,2.5,-0.007575757575757576,7.783955670103093e-05,97000.0,32117.346320484496,3.113582268041237e-05
11.4840947,3.75,-0.007575757575757576,7.945834845360825e-05,97000.0,47194.53742723381,2.1188892920962198e-05
12.8120451,5.0,-0.007575757575757576,8.03982113402062e-05,97000.0,62190.438277817244,1.607964226804124e-05
12.812080649999999,0.0,-0.015151515151515152,0.00013208330567010307,97000.0,0.0,inf
8.125124825,1.25,-0.015151515151515152,7.087271262886597e-05,97000.0,17637.253515972854,5.6698170103092776e-05
9.922076624999999,2.5,-0.015151515151515152,7.664373530927834e-05,97000.0,32618.45198321584,3.0657494123711337e-05
11.3281572,3.75,-0.015151515151515152,7.827674175257732e-05,97000.0,47906.950596554794,2.0873797800687287e-05
12.695220599999999,5.0,-0.015151515151515152,7.92791618556701e-05,97000.0,63068.27523104543,1.585583237113402e-05
12.695018999999998,0.0,-0.022727272727272728,0.00013087648453608247,97000.0,0.0,inf
8.04709495,1.25,-0.022727272727272728,7.008774690721649e-05,97000.0,17834.78646638155,5.6070197525773194e-05
9.844077465000002,2.5,-0.022727272727272728,7.580368726804126e-05,97000.0,32979.926044494634,3.03214749072165e-05
11.2501962,3.75,-0.022727272727272728,7.742133969072164e-05,97000.0,48436.25820710784,2.0645690584192438e-05
12.578207500000001,5.0,-0.022727272727272728,7.839607680412373e-05,97000.0,63778.70173902623,1.5679215360824745e-05
12.5781529,0.0,-0.030303030303030304,0.00012967167938144329,97000.0,0.0,inf
7.9690903550000005,1.25,-0.030303030303030304,6.927342530927835e-05,97000.0,18044.437595214124,5.541874024742269e-05
9.765061085,2.5,-0.030303030303030304,7.48429761340206e-05,97000.0,33403.26813732358,2.9937190453608245e-05
11.17210405,3.75,-0.030303030303030304,7.641178402061855e-05,97000.0,49076.2000660542,2.0376475738831616e-05
12.500108350000001,5.0,-0.030303030303030304,7.733500103092784e-05,97000.0,64653.77815150475,1.546700020618557e-05
12.50013715,0.0,-0.03787878787878788,0.0001288673932989691,97000.0,0.0,inf
7.89011003,1.25,-0.03787878787878788,6.84102544329897e-05,97000.0,18272.114471148765,5.472820354639176e-05
9.687020245,2.5,-0.03787878787878788,7.381045097938144e-05,97000.0,33870.54227183034,2.9524180391752575e-05
11.05510495,3.75,-0.03787878787878788,7.529584484536083e-05,97000.0,49803.545038927165,2.007889195876289e-05
12.42198115,5.0,-0.03787878787878788,7.622947680412371e-05,97000.0,65591.42486111776,1.5245895360824743e-05
12.42201985,0.0,-0.045454545454545456,0.00012806206030927835,97000.0,0.0,inf
7.8120886249999995,1.25,-0.045454545454545456,6.758784304123711e-05,97000.0,18494.450240664468,5.407027443298969e-05
9.530999115,2.5,-0.045454545454545456,7.274663932989691e-05,97000.0,34365.848691137646,2.909865573195876e-05
10.93813575,3.75,-0.045454545454545456,7.429793762886598e-05,97000.0,50472.464238940905,1.9812783367697593e-05
12.26606635,5.0,-0.045454545454545456,7.521286752577318e-05,97000.0,66477.98660630312,1.5042573505154634e-05
12.266159,0.0,-0.05303030303030303,0.00012645524742268042,97000.0,0.0,inf
7.65607269,1.25,-0.05303030303030303,6.63067019587629e-05,97000.0,18851.789684508713,5.304536156701032e-05
9.453055554999999,2.5,-0.05303030303030303,7.175882685567009e-05,97000.0,34838.91960815215,2.870353074226804e-05
10.8591293,3.75,-0.05303030303030303,7.329765773195875e-05,97000.0,51161.252842666894,1.954604206185567e-05
12.1881168,5.0,-0.05303030303030303,7.421973969072164e-05,97000.0,67367.52272152013,1.484394793814433e-05
12.1880907,0.0,-0.06060606060606061,0.00012565041958762887,97000.0,0.0,inf
7.656088710000001,1.25,-0.06060606060606061,6.595991659793816e-05,97000.0,18950.903282965548,5.276793327835053e-05
9.37509153,2.5,-0.06060606060606061,7.093022453608248e-05,97000.0,35245.90562558054,2.837208981443299e-05
10.7810707,3.75,-0.06060606060606061,7.243806855670103e-05,97000.0,51768.35985162526,1.9316818281786944e-05
12.10902665,5.0,-0.06060606060606061,7.33343381443299e-05,97000.0,68180.8839695186,1.4666867628865983e-05
12.1090448,0.0,-0.06818181818181818,0.00012483551340206184,97000.0,0.0,inf
7.5000906149999995,1.25,-0.06818181818181818,6.472067077319588e-05,97000.0,19313.767689158263,5.17765366185567e-05
9.297055199999999,2.5,-0.06818181818181818,6.995009690721648e-05,97000.0,35739.764639869776,2.7980038762886594e-05
10.703086599999999,3.75,-0.06818181818181818,7.142590206185566e-05,97000.0,52501.962057860415,1.9046907216494843e-05
12.03116485,5.0,-0.06818181818181818,7.229785103092782e-05,97000.0,69158.34881262353,1.4459570206185564e-05
12.03112555,0.0,-0.07575757575757576,0.00012403222216494846,97000.0,0.0,inf
7.50010486,1.25,-0.07575757575757576,6.42708006185567e-05,97000.0,19448.956415195044,5.141664049484536e-05
