vbias,vds,vgs,ids,Rbias,Rfet,Gfet
-0.0006753780845,0.0,3.0,-1.350756169e-05,50,-0.0,-inf
1.09859498,0.0,3.0707070707070705,0.0219718996,50,0.0,inf
1.10459791,0.0,3.1414141414141414,0.0220919582,50,0.0,inf
1.08714051,0.0,3.212121212121212,0.0217428102,50,0.0,inf
1.11556323,0.0,3.282828282828283,0.022311264600000002,50,0.0,inf
1.07027396,0.0,3.3535353535353534,0.0214054792,50,0.0,inf
1.05765806,0.0,3.4242424242424243,0.021153161200000003,50,0.0,inf
1.057784575,0.0,3.494949494949495,0.021155691499999997,50,0.0,inf
1.05799986,0.0,3.5656565656565657,0.0211599972,50,0.0,inf
1.05789631,0.0,3.6363636363636362,0.0211579262,50,0.0,inf
1.05886551,0.0,3.707070707070707,0.0211773102,50,0.0,inf
1.064456845,0.0,3.7777777777777777,0.021289136900000002,50,0.0,inf
1.064836955,0.0,3.8484848484848486,0.021296739100000003,50,0.0,inf
1.065306075,0.0,3.919191919191919,0.0213061215,50,0.0,inf
1.065078325,0.0,3.9898989898989896,0.0213015665,50,0.0,inf
1.06650351,0.0,4.0606060606060606,0.0213300702,50,0.0,inf
1.068711445,0.0,4.1313131313131315,0.0213742289,50,0.0,inf
1.07115435,0.0,4.202020202020202,0.021423087,50,0.0,inf
1.07162863,0.0,4.2727272727272725,0.021432572599999998,50,0.0,inf
1.0702808799999999,0.0,4.343434343434343,0.021405617599999996,50,0.0,inf
1.06956032,0.0,4.414141414141414,0.021391206399999998,50,0.0,inf
1.06949359,0.0,4.484848484848484,0.0213898718,50,0.0,inf
1.070081025,0.0,4.555555555555555,0.0214016205,50,0.0,inf
1.069623435,0.0,4.626262626262626,0.0213924687,50,0.0,inf
1.068474915,0.0,4.696969696969697,0.021369498299999998,50,0.0,inf
1.068191295,0.0,4.767676767676767,0.0213638259,50,0.0,inf
1.0680668899999999,0.0,4.838383838383838,0.021361337799999998,50,0.0,inf
1.0680963,0.0,4.909090909090909,0.021361926000000003,50,0.0,inf
1.06788898,0.0,4.979797979797979,0.0213577796,50,0.0,inf
1.067596975,0.0,5.05050505050505,0.0213519395,50,0.0,inf
1.06716816,0.0,5.121212121212121,0.0213433632,50,0.0,inf
1.067083295,0.0,5.191919191919192,0.0213416659,50,0.0,inf
1.0673926950000001,0.0,5.262626262626263,0.0213478539,50,0.0,inf
1.068184085,0.0,5.333333333333333,0.021363681699999998,50,0.0,inf
1.0691999,0.0,5.404040404040404,0.021383998,50,0.0,inf
1.0688996,0.0,5.474747474747474,0.021377992,50,0.0,inf
1.06865672,0.0,5.545454545454545,0.021373134399999997,50,0.0,inf
1.06816616,0.0,5.616161616161616,0.021363323200000003,50,0.0,inf
1.06812457,0.0,5.686868686868687,0.0213624914,50,0.0,inf
1.0688451300000001,0.0,5.757575757575758,0.021376902600000004,50,0.0,inf
1.069442475,0.0,5.828282828282829,0.0213888495,50,0.0,inf
1.06981975,0.0,5.898989898989899,0.021396395,50,0.0,inf
1.070559605,0.0,5.96969696969697,0.021411192099999997,50,0.0,inf
1.0714804,0.0,6.04040404040404,0.021429608,50,0.0,inf
1.071691365,0.0,6.111111111111111,0.0214338273,50,0.0,inf
1.0719002899999999,0.0,6.181818181818182,0.021438005799999996,50,0.0,inf
1.072223645,0.0,6.252525252525253,0.0214444729,50,0.0,inf
1.072260655,0.0,6.3232323232323235,0.0214452131,50,0.0,inf
1.0726288099999999,0.0,6.393939393939394,0.021452576199999997,50,0.0,inf
1.07241684,0.0,6.4646464646464645,0.021448336800000002,50,0.0,inf
1.07267691,0.0,6.535353535353535,0.0214535382,50,0.0,inf
1.073093455,0.0,6.6060606060606055,0.0214618691,50,0.0,inf
1.072965895,0.0,6.6767676767676765,0.0214593179,50,0.0,inf
1.07322261,0.0,6.747474747474747,0.021464452199999998,50,0.0,inf
1.073609565,0.0,6.818181818181818,0.0214721913,50,0.0,inf
1.0741014500000001,0.0,6.888888888888889,0.021482029000000003,50,0.0,inf
1.073650715,0.0,6.959595959595959,0.021473014300000003,50,0.0,inf
1.073640855,0.0,7.03030303030303,0.0214728171,50,0.0,inf
1.073309245,0.0,7.101010101010101,0.021466184899999997,50,0.0,inf
1.07307185,0.0,7.171717171717171,0.021461437,50,0.0,inf
1.072862025,0.0,7.242424242424242,0.021457240500000002,50,0.0,inf
1.07241882,0.0,7.313131313131313,0.0214483764,50,0.0,inf
1.072552985,0.0,7.383838383838384,0.0214510597,50,0.0,inf
1.072123065,0.0,7.454545454545454,0.0214424613,50,0.0,inf
1.072277535,0.0,7.525252525252525,0.0214455507,50,0.0,inf
1.07238836,0.0,7.595959595959596,0.0214477672,50,0.0,inf
1.07225963,0.0,7.666666666666666,0.0214451926,50,0.0,inf
1.0724259150000002,0.0,7.737373737373737,0.021448518300000004,50,0.0,inf
1.0716270049999999,0.0,7.808080808080808,0.021432540099999998,50,0.0,inf
1.0719022800000002,0.0,7.878787878787879,0.021438045600000004,50,0.0,inf
1.072228945,0.0,7.949494949494949,0.0214445789,50,0.0,inf
1.0729824749999999,0.0,8.02020202020202,0.021459649499999997,50,0.0,inf
1.072260015,0.0,8.09090909090909,0.021445200299999998,50,0.0,inf
1.071975975,0.0,8.161616161616163,0.0214395195,50,0.0,inf
1.0716177199999999,0.0,8.232323232323232,0.0214323544,50,0.0,inf
1.07123026,0.0,8.303030303030303,0.021424605200000002,50,0.0,inf
1.0713035400000002,0.0,8.373737373737374,0.021426070800000002,50,0.0,inf
1.07105418,0.0,8.444444444444445,0.021421083599999998,50,0.0,inf
